力量コード  ###[skill_code]###,力量名  ###[skill_name]###,力量カテゴリーコード  ###[competence_category_code]###,力量カテゴリー,力量レベルパターンコード ###[competence_scale_code]###,もうすぐ有効期限切れ（有効期限の〇日前）  ###[notify_expiration_timing_date_before]###,メール通知  ###[notify_email]###,概要  ###[overview]###,URL  ###[urls]###,有効期限切れの表示  ###[expired_highlight]###,管理者への公開  ###[competence_publish_type]###,使用プロジェクト,使用できるプロジェクト,使用力量マップ,有効期間の指定  ###[calculation_switch_type]###,有効期間の種類  ###[calculation_type]###,有効期間（年数）  ###[period_years]###,有効期間（月数）  ###[period_months]###,有効期間（暦月）  ###[specified_month]###,有効期間（日）  ###[date_type]###,有効期限の自動計算  ###[auto_calculation_enabled]###,有効期限の手動修正  ###[changeable_after_calculation]###,[育成計画の初期値]概要  ###[initial_value_training_plan_overview]###,[育成計画の初期値]内部講師（メンバーコード）  ###[initial_value_training_plan_internal_lecturer_code]###,[育成計画の初期値]社外講師  ###[initial_value_training_plan_external_lecturer_name]###,[育成計画の初期値]有効性評価の方法  ###[initial_value_training_plan_effectiveness_evaluation_method]###,[育成計画の初期値]受講者による受講結果の編集  ###[initial_value_training_plan_edit_individual_record_by_attendees]###,[育成計画の初期値]他プロジェクトによる受講結果の編集  ###[initial_value_training_plan_edit_individual_record_by_other_projects]###
SKL00029,実機検証,CTG101040100,業務スキル＞開発技術＞設計検証＞メカ,SKILL_DEFAULT,0,通知しない,メカの機能を多面的に捉え実機検証を実行できる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 1G-スキル・知識 , 4SEC-スキル・知識 , 5SEC-スキル・知識 , 5G1SEC-スキル・知識 , 3G1-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 2G3SEC-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 1SEC-スキル・知識 , 新技術推進部ースキル , 2SEC-スキル・知識 , 3SEC-スキル・知識 , 3G2-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00030,解析検証,CTG101040100,業務スキル＞開発技術＞設計検証＞メカ,SKILL_DEFAULT,0,通知しない,精度の高い解析を行って、メカの設計品質（初期性能・耐久性能）を判断し、それを保証することができる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 1G-スキル・知識 , 4SEC-スキル・知識 , 5SEC-スキル・知識 , 5G1SEC-スキル・知識 , 3G1-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 2G3SEC-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 1SEC-スキル・知識 , 新技術推進部ースキル , 2SEC-スキル・知識 , 3SEC-スキル・知識 , 3G2-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00033,単体結合テスト（ソフト）,CTG101040300,業務スキル＞開発技術＞設計検証＞ソフト,SKILL_DEFAULT,0,通知しない,"設計に合わせてテストリストを作成しテストし、不具合の修正ができる。
セキュリティテストも含める。",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 3G3-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 3G1-スキル・知識 , 2G2SEC-スキル・知識 , 新技術推進部ースキル , 4G3SECｰスキル、知識 , 3G2-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00034,基板単体性能評価,CTG101040400,業務スキル＞開発技術＞設計検証＞基板単体性能評価（ハード）,SKILL_DEFAULT,0,通知しない,"設計仕様を基に検証計画を立て実行できる。
設計仕様やデバイス仕様から適切な方法を用いて実行し、合否判断ができる。発生した問題に対し、原因の特定と対応が取れる。",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 2G2SEC-スキル・知識 , 3G1-スキル・知識 , 3G3-スキル・知識 , 新技術推進部ースキル , 4G3SECｰスキル、知識 , 3G2-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00035,製造要求,CTG101040500,業務スキル＞開発技術＞設計検証＞製造要求,SKILL_DEFAULT,0,通知しない,"基板の実装先や製品組付け先に対し、製造に必要なﾌｧﾝｸｼｮﾝﾁｪｯｶｰ、検査システム等の仕様を構築、指示できる。
また、それらに対応したﾒｶ・ﾊｰﾄﾞ・ｿﾌﾄｳｪｱの設計ができる。",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 1G-スキル・知識 , 4SEC-スキル・知識 , 5SEC-スキル・知識 , 5G1SEC-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 2G2SEC-スキル・知識 , 2G3SEC-スキル・知識 , 3G1-スキル・知識 , 3G3-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 1SEC-スキル・知識 , 新技術推進部ースキル , 2SEC-スキル・知識 , 3SEC-スキル・知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00036,システム統合検証,CTG101040600,業務スキル＞開発技術＞設計検証＞システム統合検証,SKILL_DEFAULT,0,通知しない,"メカ・ハード・ソフトを統合し、システムとしての検証ができる
システムテストの検証項目の立案・実施・合否判定ができる

●ハード事例
デバイス制御、動作制御、性能の設計検証ができる。
設計仕様やデバイス仕様から適切な方法を用いて実行し、合否判断ができる。発生した問題に対し、原因の特定と対応が取れる。
※ 制御とは、「モータを狙いの回転数で駆動する」「センサが対象物を検出してからXX秒後にモータを停止する」など、ハードとソフトが融合したものを指す。",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 3G3-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 1G-スキル・知識 , 4SEC-スキル・知識 , 5SEC-スキル・知識 , 5G1SEC-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 2G2SEC-スキル・知識 , 3G1-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 1SEC-スキル・知識 , 新技術推進部ースキル , 2SEC-スキル・知識 , 3SEC-スキル・知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識 , プロトSEC-スキル・知識 , 2G3SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00237,制御モデルの実装とRCP,CTG101040700,業務スキル＞開発技術＞設計検証＞MBSE/MBD,SKILL_DEFAULT,0,通知しない,"自動コード生成し、ターゲットに実装、RCPで検証できる。
指定ツール：Coder類、Simulink-RT",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 3G3-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , ロボチームースキル , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 1G-スキル・知識 , 4SEC-スキル・知識 , 5SEC-スキル・知識 , 5G1SEC-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 2G2SEC-スキル・知識 , 3G1-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 1SEC-スキル・知識 , 新技術推進部ースキル , 2SEC-スキル・知識 , 3SEC-スキル・知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識 , プロトSEC-スキル・知識 , 2G3SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00238,コードの検証,CTG101040700,業務スキル＞開発技術＞設計検証＞MBSE/MBD,SKILL_DEFAULT,0,通知しない,"品質とセキュリティの脆弱性を評価し、改善することができる。
指定ツール：Polyspace BugFinder、Polyspace Code Prover",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 3G3-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , ロボチームースキル , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 1G-スキル・知識 , 4SEC-スキル・知識 , 5SEC-スキル・知識 , 5G1SEC-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 2G2SEC-スキル・知識 , 3G1-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 1SEC-スキル・知識 , 新技術推進部ースキル , 2SEC-スキル・知識 , 3SEC-スキル・知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識 , プロトSEC-スキル・知識 , 2G3SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00037,ユーザ検証,CTG101050100,業務スキル＞開発技術＞妥当性確認＞モニタ評価,SKILL_DEFAULT,0,通知しない,製品仕様に対するユーザー評価の計画を立て、実行、妥当性の判断ができる。検証結果を製品にフィードバックし、価値を向上させることができる。,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 3G3-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 1G-スキル・知識 , 4SEC-スキル・知識 , 5SEC-スキル・知識 , 5G1SEC-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 2G2SEC-スキル・知識 , 3G1-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 1SEC-スキル・知識 , 新技術推進部ースキル , 2SEC-スキル・知識 , 3SEC-スキル・知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識 , プロトSEC-スキル・知識 , 2G3SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00038,システムテスト設計（ソフト）,CTG101050200,業務スキル＞開発技術＞妥当性確認＞システムテスト,SKILL_DEFAULT,0,通知しない,"リスクを最小化し、ユーザ使用を想定したシステムテストの設計、実行、妥当性の判断ができる。
機能観点一覧、テスト観点一覧の作成を踏まえたテスト網羅性や、AllPair法、シナリオテスト等の最適なテスト手法を選択したテスト設計を行うことができる。",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 3G3-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 2G2SEC-スキル・知識 , 3G1-スキル・知識 , 新技術推進部ースキル , 4G3SECｰスキル、知識 , 3G2-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00039,解析結果分析力　考察力,CTG101060100,業務スキル＞開発技術＞解析技術＞解析結果分析,SKILL_DEFAULT,0,通知しない,解析結果の分析から解析妥当性を判断できる。また実現象のメカニズムについて考察できる。,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 第2SEC－スキル・知識 , 3G3-スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 1G-スキル・知識 , 4SEC-スキル・知識 , 5SEC-スキル・知識 , 5G1SEC-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 2G2SEC-スキル・知識 , 3G1-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 1SEC-スキル・知識 , 新技術推進部ースキル , 2SEC-スキル・知識 , 3SEC-スキル・知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識 , プロトSEC-スキル・知識 , 2G3SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00040,解析マネージメント力,CTG101060200,業務スキル＞開発技術＞解析技術＞解析マネージメント,SKILL_DEFAULT,0,通知しない,技術課題に対し解析難易度を捉え解析手法、解析コストを考慮したマネージメントができる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 3G3-スキル・知識 , 1G-スキル・知識 , 4SEC-スキル・知識 , 5SEC-スキル・知識 , 5G1SEC-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 2G2SEC-スキル・知識 , 3G1-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 1SEC-スキル・知識 , 2SEC-スキル・知識 , 3SEC-スキル・知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識 , プロトSEC-スキル・知識 , 新技術推進部ースキル , 2G3SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
